# Time		Signal_1	Signal_2	Signal_3	Signal_4
0.045 15.3909 29.6962 -63.2963 34.3347
0.046 15.7185 29.7225 -63.3952 34.624
0.047 16.0451 29.7477 -63.4912 34.9123
0.048 16.3707 29.7716 -63.5843 35.1998
0.049 16.6953 29.7944 -63.6745 35.4863
0.05 17.019 29.816 -63.7618 35.7719
0.051 17.3416 29.8364 -63.8461 36.0566
0.052 17.6632 29.8556 -63.9274 36.3403
0.053 17.9837 29.8736 -64.0059 36.623
0.054 18.3031 29.8904 -64.0814 36.9047
0.055 18.6215 29.9061 -64.1539 37.1854
0.056 18.9387 29.9205 -64.2235 37.4651
0.057 19.2548 29.9337 -64.2901 37.7437
0.058 19.5697 29.9457 -64.3537 38.0213
0.059 19.8834 29.9565 -64.4144 38.2977
0.06 20.196 29.9662 -64.4721 38.5731
0.061 20.5073 29.9746 -64.5268 38.8473
0.062 20.8174 29.9818 -64.5785 39.1204
0.063 21.1262 29.9878 -64.6273 39.3924
0.064 21.4338 29.9926 -64.6731 39.6632
0.065 21.7401 29.9962 -64.7159 39.9328
0.066 22.045 29.9986 -64.7557 40.2012
0.067 22.3487 29.9998 -64.7925 40.4684
0.068 22.651 29.9998 -64.8263 40.7343
0.069 22.9519 29.9986 -64.8571 40.9991
0.07 23.2515 29.9962 -64.8849 41.2625
0.071 23.5496 29.9926 -64.9097 41.5247
0.072 23.8464 29.9878 -64.9315 41.7856
0.073 24.1417 29.9818 -64.9503 42.0451
0.074 24.4355 29.9746 -64.9661 42.3034
0.075 24.7279 29.9662 -64.9788 42.5603
0.076 25.0188 29.9565 -64.9886 42.8158
0.077 25.3082 29.9457 -64.9954 43.07
0.078 25.5961 29.9337 -64.9992 43.3227
0.079 25.8824 29.9205 -64.9999 43.5741
0.08 26.1671 29.9061 -64.9976 43.8241
0.081 26.4503 29.8904 -64.9924 44.0726
0.082 26.7319 29.8736 -64.9841 44.3197
0.083 27.0119 29.8556 -64.9728 44.5653
0.084 27.2903 29.8364 -64.9585 44.8094
0.085 27.567 29.816 -64.9413 45.0521
0.086 27.8421 29.7944 -64.921 45.2932
0.087 28.1155 29.7716 -64.8976 45.5328
0.088 28.3872 29.7477 -64.8713 45.7709
0.089 28.6572 29.7225 -64.842 46.0074
0.09 28.9254 29.6962 -64.8097 46.2424
0.091 29.192 29.6686 -64.7744 46.4757
0.092 29.4567 29.6399 -64.7361 46.7075
0.093 29.7197 29.61 -64.6948 46.9377
0.094 29.9809 29.5789 -64.6506 47.1663
0.095 30.2404 29.5467 -64.6033 47.3932
0.096 30.4979 29.5132 -64.553 47.6185
0.097 30.7537 29.4786 -64.4998 47.8421
0.098 31.0076 29.4429 -64.4436 48.064
0.099 31.2596 29.4059 -64.3844 48.2843
0.1 31.5098 29.3678 -64.3223 48.5028
0.101 31.758 29.3285 -64.2571 48.7197
0.102 32.0044 29.2881 -64.189 48.9348
0.103 32.2488 29.2465 -64.118 49.1481
0.104 32.4913 29.2037 -64.044 49.3597
0.105 32.7318 29.1598 -63.967 49.5696
0.106 32.9704 29.1147 -63.8871 49.7776
0.107 33.2069 29.0685 -63.8043 49.9839
0.108 33.4415 29.0211 -63.7185 50.1884
0.109 33.6741 28.9726 -63.6298 50.391
0.11 33.9046 28.923 -63.5382 50.5919
0.111 34.1331 28.8722 -63.4436 50.7908
0.112 34.3596 28.8202 -63.3461 50.988
0.113 34.5839 28.7672 -63.2457 51.1832
0.114 34.8062 28.713 -63.1425 51.3766
0.115 35.0264 28.6577 -63.0363 51.5681
0.116 35.2445 28.6012 -62.9272 51.7577
0.117 35.4605 28.5437 -62.8152 51.9454
0.118 35.6743 28.485 -62.7004 52.1312
0.119 35.886 28.4252 -62.5827 52.315
0.12 36.0955 28.3643 -62.4621 52.4969
0.121 36.3029 28.3023 -62.3387 52.6769
0.122 36.5081 28.2392 -62.2124 52.8548
0.123 36.7111 28.175 -62.0833 53.0308
0.124 36.9118 28.1097 -61.9514 53.2048
0.125 37.1104 28.0433 -61.8166 53.3768
0.126 37.3067 27.9759 -61.679 53.5468
0.127 37.5008 27.9073 -61.5386 53.7148
0.128 37.6926 27.8377 -61.3954 53.8808
0.129 37.8821 27.767 -61.2494 54.0447
0.13 38.0694 27.6952 -61.1007 54.2065
0.131 38.2544 27.6224 -60.9491 54.3663
0.132 38.437 27.5485 -60.7948 54.5241
0.133 38.6174 27.4736 -60.6377 54.6797
0.134 38.7954 27.3976 -60.4779 54.8333
0.135 38.9711 27.3205 -60.3154 54.9848
0.136 39.1445 27.2424 -60.1501 55.1342
0.137 39.3155 27.1633 -59.9821 55.2814
0.138 39.4841 27.0831 -59.8114 55.4266
0.139 39.6504 27.0019 -59.638 55.5696
0.14 39.8143 26.9197 -59.462 55.7104
0.141 39.9758 26.8365 -59.2832 55.8491
0.142 40.1348 26.7523 -59.1018 55.9857
0.143 40.2915 26.667 -58.9177 56.1201
0.144 40.4457 26.5808 -58.731 56.2523
0.145 40.5975 26.4935 -58.5416 56.3823
0.146 40.7469 26.4053 -58.3497 56.5102
0.147 40.8938 26.316 -58.1551 56.6359
0.148 41.0382 26.2258 -57.9579 56.7593
0.149 41.1802 26.1346 -57.7582 56.8805
0.15 41.3197 26.0425 -57.5558 56.9996
0.151 41.4567 25.9493 -57.3509 57.1163
0.152 41.5913 25.8553 -57.1435 57.2309
0.153 41.7233 25.7602 -56.9335 57.3432
0.154 41.8528 25.6642 -56.721 57.4533
0.155 41.9798 25.5673 -56.506 57.5611
0.156 42.1042 25.4694 -56.2885 57.6667
0.157 42.2262 25.3706 -56.0685 57.7699
0.158 42.3455 25.2709 -55.8461 57.871
0.159 42.4624 25.1703 -55.6211 57.9697
0.16 42.5767 25.0687 -55.3938 58.0662
0.161 42.6884 24.9663 -55.164 58.1603
0.162 42.7975 24.8629 -54.9318 58.2522
0.163 42.9041 24.7586 -54.6972 58.3418
0.164 43.0081 24.6535 -54.4602 58.429
0.165 43.1095 24.5475 -54.2208 58.514
0.166 43.2083 24.4406 -53.979 58.5966
0.167 43.3046 24.3328 -53.735 58.6769
0.168 43.3982 24.2242 -53.4886 58.7549
0.169 43.4892 24.1147 -53.2398 58.8305
0.17 43.5775 24.0043 -52.9888 58.9038
0.171 43.6633 23.8932 -52.7355 58.9748
0.172 43.7464 23.7812 -52.4799 59.0434
0.173 43.8269 23.6683 -52.2221 59.1097
0.174 43.9048 23.5546 -51.962 59.1736
0.175 43.98 23.4402 -51.6997 59.2352
0.176 44.0526 23.3249 -51.4352 59.2944
0.177 44.1225 23.2088 -51.1684 59.3512
0.178 44.1898 23.0919 -50.8996 59.4057
0.179 44.2544 22.9742 -50.6285 59.4578
0.18 44.3163 22.8558 -50.3553 59.5075
0.181 44.3756 22.7365 -50.08 59.5549
0.182 44.4322 22.6165 -49.8026 59.5999
0.183 44.4862 22.4958 -49.5231 59.6424
0.184 44.5374 22.3743 -49.2415 59.6826
0.185 44.586 22.252 -48.9578 59.7205
0.186 44.6319 22.129 -48.6721 59.7559
0.187 44.6751 22.0053 -48.3844 59.7889
0.188 44.7157 21.8809 -48.0947 59.8195
0.189 44.7535 21.7557 -47.803 59.8478
0.19 44.7886 21.6298 -47.5093 59.8736
0.191 44.8211 21.5033 -47.2136 59.8971
0.192 44.8508 21.376 -46.916 59.9181
0.193 44.8779 21.2481 -46.6165 59.9368
0.194 44.9022 21.1195 -46.3151 59.953
0.195 44.9239 20.9902 -46.0118 59.9668
0.196 44.9428 20.8602 -45.7066 59.9783
0.197 44.9591 20.7296 -45.3996 59.9873
0.198 44.9726 20.5984 -45.0908 59.9939
0.199 44.9834 20.4665 -44.7801 59.9981
0.2 44.9915 20.334 -44.4677 59.9999
0.201 44.997 20.2009 -44.1534 59.9993
0.202 44.9997 20.0671 -43.8375 59.9963
0.203 44.9997 19.9327 -43.5198 59.9909
0.204 44.997 19.7978 -43.2003 59.9831
0.205 44.9915 19.6623 -42.8792 59.9729
0.206 44.9834 19.5261 -42.5564 59.9602
0.207 44.9726 19.3894 -42.232 59.9452
0.208 44.9591 19.2522 -41.9059 59.9277
0.209 44.9428 19.1144 -41.5781 59.9079
0.21 44.9239 18.976 -41.2488 59.8857
0.211 44.9022 18.8371 -40.9179 59.861
0.212 44.8779 18.6976 -40.5855 59.834
0.213 44.8508 18.5577 -40.2515 59.8045
0.214 44.8211 18.4172 -39.916 59.7727
0.215 44.7886 18.2762 -39.579 59.7385
0.216 44.7535 18.1347 -39.2405 59.7018
0.217 44.7157 17.9928 -38.9005 59.6628
0.218 44.6751 17.8503 -38.5591 59.6214
0.219 44.6319 17.7074 -38.2163 59.5777
0.22 44.586 17.564 -37.8721 59.5315
0.221 44.5374 17.4202 -37.5266 59.483
0.222 44.4862 17.2759 -37.1796 59.4321
0.223 44.4322 17.1311 -36.8314 59.3788
0.224 44.3756 16.986 -36.4818 59.3231
0.225 44.3163 16.8404 -36.1309 59.2651
0.226 44.2544 16.6944 -35.7788 59.2047
0.227 44.1898 16.548 -35.4254 59.142
0.228 44.1225 16.4012 -35.0708 59.0769
0.229 44.0526 16.2541 -34.7149 59.0094
0.23 43.98 16.1065 -34.3579 58.9396
0.231 43.9048 15.9586 -33.9997 58.8675
0.232 43.8269 15.8103 -33.6404 58.793
0.233 43.7464 15.6617 -33.2799 58.7162
0.234 43.6633 15.5127 -32.9184 58.637
0.235 43.5775 15.3635 -32.5558 58.5556
0.236 43.4892 15.2138 -32.1921 58.4718
0.237 43.3982 15.0639 -31.8274 58.3857
0.238 43.3046 14.9137 -31.4616 58.2973
0.239 43.2083 14.7631 -31.0949 58.2065
0.24 43.1095 14.6123 -30.7272 58.1135
0.241 43.0081 14.4612 -30.3586 58.0182
0.242 42.9041 14.3099 -29.989 57.9206
0.243 42.7975 14.1582 -29.6186 57.8207
0.244 42.6884 14.0064 -29.2472 57.7186
0.245 42.5767 13.8542 -28.875 57.6142
0.246 42.4624 13.7019 -28.502 57.5075
0.247 42.3455 13.5493 -28.1282 57.3985
0.248 42.2262 13.3965 -27.7535 57.2873
0.249 42.1042 13.2436 -27.3781 57.1739
0.25 41.9798 13.0904 -27.002 57.0582
0.251 41.8528 12.937 -26.6251 56.9403
0.252 41.7233 12.7835 -26.2476 56.8202
0.253 41.5913 12.6297 -25.8693 56.6979
0.254 41.4567 12.4759 -25.4904 56.5733
0.255 41.3197 12.3219 -25.1109 56.4465
0.256 41.1802 12.1677 -24.7307 56.3176
0.257 41.0382 12.0134 -24.35 56.1865
0.258 40.8938 11.859 -23.9687 56.0532
0.259 40.7469 11.7045 -23.5869 55.9177
0.26 40.5975 11.5498 -23.2046 55.7801
0.261 40.4457 11.3951 -22.8217 55.6403
0.262 40.2915 11.2403 -22.4384 55.4983
0.263 40.1348 11.0854 -22.0547 55.3543
0.264 39.9758 10.9305 -21.6705 55.2081
0.265 39.8143 10.7755 -21.2859 55.0597
0.266 39.6504 10.6205 -20.9009 54.9093
0.267 39.4841 10.4654 -20.5156 54.7568
0.268 39.3155 10.3103 -20.13 54.6022
0.269 39.1445 10.1551 -19.744 54.4455
0.27 38.9711 10 -19.3578 54.2867
0.271 38.7954 9.84486 -18.9713 54.1259
0.272 38.6174 9.68973 -18.5845 53.963
0.273 38.437 9.53462 -18.1976 53.798
0.274 38.2544 9.37954 -17.8104 53.6311
0.275 38.0694 9.22449 -17.4231 53.4621
0.276 37.8821 9.06949 -17.0357 53.2911
0.277 37.6926 8.91455 -16.6481 53.1181
0.278 37.5008 8.75967 -16.2604 52.9431
0.279 37.3067 8.60487 -15.8726 52.7661
0.28 37.1104 8.45015 -15.4848 52.5871
0.281 36.9118 8.29553 -15.097 52.4062
0.282 36.7111 8.141 -14.7091 52.2233
0.283 36.5081 7.98659 -14.3213 52.0385
0.284 36.3029 7.8323 -13.9335 51.8518
0.285 36.0955 7.67814 -13.5458 51.6632
0.286 35.886 7.52412 -13.1581 51.4726
0.287 35.6743 7.37025 -12.7706 51.2802
0.288 35.4605 7.21654 -12.3832 51.0858
0.289 35.2445 7.06299 -11.996 50.8896
0.29 35.0264 6.90962 -11.6089 50.6916
0.291 34.8062 6.75644 -11.2221 50.4917
0.292 34.5839 6.60345 -10.8354 50.2899
0.293 34.3596 6.45067 -10.4491 50.0864
0.294 34.1331 6.2981 -10.063 49.881
0.295 33.9046 6.14576 -9.67716 49.6738
0.296 33.6741 5.99364 -9.29167 49.4649
0.297 33.4415 5.84177 -8.90653 49.2541
0.298 33.2069 5.69014 -8.52176 49.0417
0.299 32.9704 5.53878 -8.13738 48.8274
0.3 32.7318 5.38768 -7.75341 48.6115
0.301 32.4913 5.23686 -7.36987 48.3938
0.302 32.2488 5.08633 -6.9868 48.1744
0.303 32.0044 4.9361 -6.60421 47.9533
0.304 31.758 4.78617 -6.22212 47.7305
0.305 31.5098 4.63655 -5.84056 47.506
0.306 31.2596 4.48725 -5.45955 47.2799
0.307 31.0076 4.33829 -5.07912 47.0522
0.308 30.7537 4.18967 -4.69928 46.8228
0.309 30.4979 4.04139 -4.32006 46.5918
0.31 30.2404 3.89348 -3.94149 46.3593
0.311 29.9809 3.74593 -3.56358 46.1251
0.312 29.7197 3.59876 -3.18636 45.8893
0.313 29.4567 3.45198 -2.80985 45.652
0.314 29.192 3.30559 -2.43407 45.4132
0.315 28.9254 3.1596 -2.05905 45.1728
0.316 28.6572 3.01402 -1.68481 44.9309
0.317 28.3872 2.86886 -1.31137 44.6875
0.318 28.1155 2.72414 -0.938748 44.4427
0.319 27.8421 2.57985 -0.566977 44.1963
0.32 27.567 2.436 -0.196074 43.9485
0.321 27.2903 2.29262 0.173938 43.6993
0.322 27.0119 2.14969 0.543037 43.4486
0.323 26.7319 2.00724 0.9112 43.1965
0.324 26.4503 1.86527 1.27841 42.9431
0.325 26.1671 1.72379 1.64463 42.6882
0.326 25.8824 1.5828 2.00986 42.432
0.327 25.5961 1.44233 2.37406 42.1744
0.328 25.3082 1.30236 2.73722 41.9155
0.329 25.0188 1.16292 3.09931 41.6553
0.33 24.7279 1.02402 3.46031 41.3938
0.331 24.4355 0.88565 3.8202 41.1309
0.332 24.1417 0.747831 4.17895 40.8669
0.333 23.8464 0.610569 4.53656 40.6015
0.334 23.5496 0.473872 4.89298 40.3349
0.335 23.2515 0.337748 5.24821 40.0671
0.336 22.9519 0.202206 5.60223 39.7981
0.337 22.651 0.0672532 5.955 39.5279
0.338 22.3487 -0.067102 6.30651 39.2566
0.339 22.045 -0.200851 6.65674 38.984
0.34 21.7401 -0.333987 7.00566 38.7103
0.341 21.4338 -0.466501 7.35327 38.4355
0.342 21.1262 -0.598385 7.69952 38.1596
0.343 20.8174 -0.729631 8.04442 37.8826
0.344 20.5073 -0.860232 8.38792 37.6045
0.345 20.196 -0.990179 8.73002 37.3254
0.346 19.8834 -1.11947 9.07069 37.0452
0.347 19.5697 -1.24808 9.40991 36.764
0.348 19.2548 -1.37602 9.74766 36.4818
0.349 18.9387 -1.50328 10.0839 36.1986
0.35 18.6215 -1.62984 10.4187 35.9144
0.351 18.3031 -1.7557 10.7519 35.6292
0.352 17.9837 -1.88086 11.0836 35.3432
0.353 17.6632 -2.0053 11.4137 35.0562
0.354 17.3416 -2.12902 11.7422 34.7682
0.355 17.019 -2.25201 12.0691 34.4794
0.356 16.6953 -2.37426 12.3944 34.1898
0.357 16.3707 -2.49577 12.718 33.8993
0.358 16.0451 -2.61653 13.04 33.6079
0.359 15.7185 -2.73652 13.3603 33.3157
0.36 15.3909 -2.85575 13.6788 33.0227
0.361 15.0624 -2.97421 13.9957 32.729
0.362 14.7331 -3.09188 14.3108 32.4344
0.363 14.4028 -3.20877 14.6241 32.1392
0.364 14.0717 -3.32487 14.9356 31.8431
0.365 13.7397 -3.44016 15.2454 31.5464
0.366 13.4069 -3.55464 15.5533 31.249
0.367 13.0732 -3.66831 15.8594 30.9509
0.368 12.7388 -3.78115 16.1637 30.6522
0.369 12.4037 -3.89317 16.466 30.3528
0.37 12.0678 -4.00435 16.7665 30.0527
0.371 11.7311 -4.11468 17.065 29.7521
0.372 11.3938 -4.22417 17.3617 29.4509
0.373 11.0558 -4.3328 17.6563 29.1491
0.374 10.7171 -4.44057 17.9491 28.8468
0.375 10.3777 -4.54747 18.2398 28.544
0.376 10.0377 -4.6535 18.5285 28.2406
0.377 9.69718 -4.75864 18.8152 27.9367
0.378 9.35603 -4.8629 19.0999 27.6324
0.379 9.01431 -4.96626 19.3825 27.3276
0.38 8.67205 -5.06872 19.6631 27.0223
0.381 8.32927 -5.17027 19.9416 26.7166
0.382 7.98599 -5.27091 20.2179 26.4106
0.383 7.64223 -5.37063 20.4922 26.1041
0.384 7.29801 -5.46943 20.7643 25.7973
0.385 6.95335 -5.5673 21.0343 25.4901
0.386 6.60827 -5.66423 21.3021 25.1826
0.387 6.26279 -5.76021 21.5677 24.8748
0.388 5.91694 -5.85525 21.8311 24.5667
0.389 5.57073 -5.94934 22.0923 24.2583
0.39 5.22418 -6.04246 22.3513 23.9496
0.391 4.87732 -6.13462 22.608 23.6408
0.392 4.53017 -6.22581 22.8624 23.3317
0.393 4.18274 -6.31603 23.1146 23.0224
0.394 3.83507 -6.40526 23.3645 22.7129
0.395 3.48716 -6.4935 23.612 22.4032
0.396 3.13904 -6.58075 23.8573 22.0934
0.397 2.79074 -6.667 24.1002 21.7835
0.398 2.44226 -6.75226 24.3408 21.4735
0.399 2.09364 -6.8365 24.579 21.1634
0.4 1.74489 -6.91973 24.8148 20.8532
0.401 1.39604 -7.00194 25.0482 20.543
0.402 1.0471 -7.08313 25.2792 20.2327
0.403 0.698105 -7.16329 25.5078 19.9224
0.404 0.349064 -7.24242 25.7339 19.6122
0.405 1.28648e-06 -7.32051 25.9576 19.3019
0.406 -0.349061 -7.39756 26.1788 18.9917
0.407 -0.698102 -7.47356 26.3976 18.6815
0.408 -1.0471 -7.54851 26.6138 18.3715
0.409 -1.39604 -7.6224 26.8276 18.0615
0.41 -1.74489 -7.69524 27.0388 17.7517
0.411 -2.09364 -7.767 27.2475 17.4419
0.412 -2.44226 -7.8377 27.4537 17.1324
0.413 -2.79073 -7.90733 27.6573 16.823
0.414 -3.13904 -7.97588 27.8584 16.5138
0.415 -3.48716 -8.04335 28.0568 16.2048
0.416 -3.83507 -8.10973 28.2527 15.896
0.417 -4.18274 -8.17502 28.446 15.5875
0.418 -4.53017 -8.23922 28.6366 15.2792
0.419 -4.87732 -8.30232 28.8247 14.9713
0.42 -5.22418 -8.36432 29.0101 14.6636
0.421 -5.57072 -8.42522 29.1928 14.3563
0.422 -5.91693 -8.485 29.3729 14.0493
0.423 -6.26279 -8.54368 29.5503 13.7426
0.424 -6.60827 -8.60124 29.7251 13.4364
0.425 -6.95334 -8.65767 29.8971 13.1305
0.426 -7.29801 -8.71299 30.0665 12.825
0.427 -7.64223 -8.76718 30.2331 12.52
0.428 -7.98599 -8.82024 30.397 12.2154
0.429 -8.32927 -8.87217 30.5582 11.9113
0.43 -8.67205 -8.92296 30.7166 11.6077
0.431 -9.01431 -8.97262 30.8723 11.3046
0.432 -9.35602 -9.02113 31.0252 11.002
0.433 -9.69718 -9.0685 31.1754 10.6999
0.434 -10.0377 -9.11472 31.3228 10.3984
0.435 -10.3777 -9.15979 31.4674 10.0975
0.436 -10.7171 -9.20371 31.6092 9.79717
0.437 -11.0558 -9.24647 31.7482 9.49746
0.438 -11.3938 -9.28807 31.8843 9.19839
0.439 -11.7311 -9.32852 32.0177 8.89996
0.44 -12.0678 -9.3678 32.1482 8.6022
0.441 -12.4037 -9.40591 32.2759 8.30513
0.442 -12.7388 -9.44286 32.4008 8.00876
0.443 -13.0732 -9.47864 32.5228 7.71312
0.444 -13.4069 -9.51325 32.6419 7.41821
0.445 -13.7397 -9.54668 32.7582 7.12406
0.446 -14.0716 -9.57893 32.8716 6.83069
0.447 -14.4028 -9.61001 32.9821 6.5381
0.448 -14.7331 -9.63991 33.0897 6.24633
0.449 -15.0624 -9.66862 33.1945 5.95538
0.45 -15.3909 -9.69615 33.2963 5.66528
0.451 -15.7185 -9.7225 33.3952 5.37605
0.452 -16.0451 -9.74766 33.4912 5.08769
0.453 -16.3707 -9.77163 33.5843 4.80023
0.454 -16.6953 -9.79442 33.6745 4.51368
0.455 -17.019 -9.81601 33.7618 4.22807
0.456 -17.3416 -9.83641 33.8461 3.9434
0.457 -17.6632 -9.85561 33.9274 3.6597
0.458 -17.9837 -9.87362 34.0059 3.37699
0.459 -18.3031 -9.89044 34.0814 3.09527
0.46 -18.6215 -9.90606 34.1539 2.81457
0.461 -18.9387 -9.92048 34.2235 2.53491
0.462 -19.2548 -9.9337 34.2901 2.25629
0.463 -19.5697 -9.94572 34.3537 1.97875
0.464 -19.8834 -9.95654 34.4144 1.70229
0.465 -20.196 -9.96616 34.4721 1.42693
0.466 -20.5073 -9.97458 34.5268 1.15268
0.467 -20.8174 -9.9818 34.5785 0.879575
0.468 -21.1262 -9.98782 34.6273 0.607616
0.469 -21.4338 -9.99263 34.6731 0.336825
0.47 -21.7401 -9.99624 34.7159 0.0672165
0.471 -22.045 -9.99865 34.7557 -0.201193
0.472 -22.3487 -9.99985 34.7925 -0.468386
0.473 -22.651 -9.99985 34.8263 -0.734348
0.474 -22.9519 -9.99865 34.8571 -0.999062
0.475 -23.2515 -9.99624 34.8849 -1.26251
0.476 -23.5496 -9.99263 34.9097 -1.52468
0.477 -23.8464 -9.98782 34.9315 -1.78556
0.478 -24.1417 -9.9818 34.9503 -2.04513
0.479 -24.4355 -9.97458 34.9661 -2.30336
0.48 -24.7279 -9.96616 34.9788 -2.56026
0.481 -25.0188 -9.95654 34.9886 -2.8158
0.482 -25.3082 -9.94572 34.9954 -3.06997
0.483 -25.596 -9.9337 34.9992 -3.32275
0.484 -25.8824 -9.92048 34.9999 -3.57412
0.485 -26.1671 -9.90606 34.9976 -3.82408
0.486 -26.4503 -9.89044 34.9924 -4.0726
0.487 -26.7319 -9.87362 34.9841 -4.31967
0.488 -27.0119 -9.85561 34.9728 -4.56529
0.489 -27.2903 -9.83641 34.9585 -4.80942
0.49 -27.567 -9.81601 34.9413 -5.05206
0.491 -27.8421 -9.79442 34.921 -5.29319
0.492 -28.1155 -9.77163 34.8976 -5.5328
0.493 -28.3872 -9.74766 34.8713 -5.77088
0.494 -28.6572 -9.7225 34.842 -6.0074
0.495 -28.9254 -9.69616 34.8097 -6.24236
0.496 -29.192 -9.66862 34.7744 -6.47574
0.497 -29.4567 -9.63991 34.7361 -6.70753
0.498 -29.7197 -9.61001 34.6948 -6.93771
0.499 -29.9809 -9.57893 34.6506 -7.16627
0.5 -30.2404 -9.54668 34.6033 -7.39319
0.501 -30.4979 -9.51325 34.553 -7.61847
0.502 -30.7537 -9.47864 34.4998 -7.84208
0.503 -31.0076 -9.44286 34.4436 -8.06402
0.504 -31.2596 -9.40591 34.3844 -8.28427
0.505 -31.5098 -9.3678 34.3223 -8.50282
0.506 -31.758 -9.32852 34.2571 -8.71965
0.507 -32.0044 -9.28807 34.189 -8.93476
0.508 -32.2488 -9.24647 34.118 -9.14812
0.509 -32.4913 -9.20371 34.044 -9.35973
0.51 -32.7318 -9.15979 33.967 -9.56958
0.511 -32.9704 -9.11472 33.8871 -9.77764
0.512 -33.2069 -9.0685 33.8043 -9.98391
0.513 -33.4415 -9.02113 33.7185 -10.1884
0.514 -33.6741 -8.97262 33.6298 -10.391
0.515 -33.9046 -8.92296 33.5382 -10.5919
0.516 -34.1331 -8.87217 33.4436 -10.7908
0.517 -34.3596 -8.82024 33.3461 -10.988
0.518 -34.5839 -8.76718 33.2457 -11.1832
0.519 -34.8062 -8.71299 33.1425 -11.3766
0.52 -35.0264 -8.65767 33.0363 -11.5681
0.521 -35.2445 -8.60124 32.9272 -11.7577
0.522 -35.4605 -8.54368 32.8152 -11.9454
0.523 -35.6743 -8.485 32.7004 -12.1312
0.524 -35.886 -8.42522 32.5827 -12.315
0.525 -36.0955 -8.36432 32.4621 -12.4969
0.526 -36.3029 -8.30232 32.3387 -12.6768
0.527 -36.5081 -8.23922 32.2124 -12.8548
0.528 -36.7111 -8.17502 32.0833 -13.0308
0.529 -36.9118 -8.10973 31.9514 -13.2048
0.53 -37.1104 -8.04335 31.8166 -13.3768
0.531 -37.3067 -7.97588 31.679 -13.5468
0.532 -37.5008 -7.90733 31.5386 -13.7148
0.533 -37.6926 -7.83771 31.3954 -13.8808
0.534 -37.8821 -7.76701 31.2494 -14.0447
0.535 -38.0694 -7.69524 31.1007 -14.2065
0.536 -38.2544 -7.6224 30.9491 -14.3663
0.537 -38.437 -7.54851 30.7948 -14.5241
0.538 -38.6174 -7.47356 30.6377 -14.6797
0.539 -38.7954 -7.39756 30.4779 -14.8333
0.54 -38.9711 -7.32051 30.3154 -14.9848
0.541 -39.1445 -7.24242 30.1501 -15.1342
0.542 -39.3155 -7.16329 29.9821 -15.2814
0.543 -39.4841 -7.08313 29.8114 -15.4266
0.544 -39.6504 -7.00194 29.638 -15.5696
0.545 -39.8143 -6.91973 29.462 -15.7104
0.546 -39.9758 -6.8365 29.2832 -15.8491
0.547 -40.1348 -6.75226 29.1018 -15.9857
0.548 -40.2915 -6.66701 28.9177 -16.1201
0.549 -40.4457 -6.58075 28.731 -16.2523
0.55 -40.5975 -6.4935 28.5416 -16.3823
0.551 -40.7469 -6.40526 28.3497 -16.5102
0.552 -40.8938 -6.31603 28.1551 -16.6359
0.553 -41.0382 -6.22581 27.9579 -16.7593
0.554 -41.1802 -6.13462 27.7582 -16.8805
